,0
196,"Does hypersexuality exist?. K.R. Goethals. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 51. "
197,"Coercive World. Bob Bowen. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 55. "
198,"Behaviours. Bob Bowen. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 55. "
199,"Violence Against Women in Nigeria: Prevalence and Help-Seeking Behaviour. L. Olayanju1, R.N.G. Naguib1, Q.T. Nguyen1, R.K. Bali1 and O.O. Kayode2. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 56. "
200,"Assessment of the Risk Factors Affecting Intimate Partner Violence in Nigeria. L. Olayanju1, R.N.G. Naguib1, Q.T. Nguyen1, R.K. Bali1 and O.O. Kayode2. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 61. "
201,"Focus on India (90 minute workshop). Peter Lepping, BN Raveesh, Murali Krishna, Srinivas VN Lanka, Stephen ERS Stanaway &. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 66. "
202,"Mental illness and violence: a comparison between formely and never violence patients living in residential facilities. Giovanni de Girolamo, Valentina Candini, Chiara Buizza, Maria Elena Boero, Clarissa. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 68. "
203,"Violence against schizophrenic women: a review. Sami Richa, Ramzi Haddad. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 72. "
204,"Variation in the DRD2 gene affects impulsivity in intertemporal choice. Yoshiya Kawamura, Taiki Takahashi, Xiaoxi Liu, Nao Nishida, Ko Ukawa, Yoshihiro Noda,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 73. "
205,"Schizophrenia Patients with a History of Serious Violence in Japan. Hiroko Kashiwagi, Noriomi Kuroki, Naotugu Hirabayashi, Manabu Ikeda. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 74. "
206,"Do we need guidelines in rapid tranquilisation? A survey of prescribing preferences in Belgian psychiatrists and emergency doctors. Chris Bervoets 1,2, Jürgen De Fruyt 3, Hella Demunter 4, Barry Dekeyser 5, Leen. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 76. "
207,"Engaging and managing angry young men: a six-session intervention. Warrick Brewer, Brendan Murphy. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 82. "
208,"Streetwise, Self-wise, Other-wise: A novel intervention to diminish victimisation in psychiatric patients with substance use disorders. Anneke E. Goudriaan, Marleen M. de Waal, Rien Van, Tatijana Malesevic, Jan Neleman,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 85. "
209,"Anger Treatment: Case Formulation and the Stress Inoculation Approach. John L Taylor, Raymond W Novaco. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 88. "
210,"Ambient healing environment design for an acute psychiatric ward. Marjolein van der Zwaag1, Murray Gillies1, Juergen Vogt1, Erik Kuijpers2, Cor Datema3,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 89. "
211,"Creating a User Interface for staff to control ambient healing environments in acute psychiatric wards. Tess Speelpenning1, Marjolein van der Zwaag1, Murray Gillies1, Erik Kuijpers2, Cor Datema3. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 93. "
212,"The feasibility of implementing Internet-based interventions for psychosis, violence risk assessment, and anger management within mental health services. Mr Ove K. Lintvedt. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 98. "
213,"Overvaluing autonomy. Peter Lepping & BN Raveesh. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 103. "
214,"Violence as Event: What does it mean and for whom? A review of the anthropological literature. Piyush Pushkar. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 104. "
215,"Factors associated with the perception of Angry and Aggressive Behavior among psychiatric nursing staff. Hanna Tuvesson RN, PhD. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 108. "
216,"Reporting violence in psychiatry to the police or not; research on the decisive factors. J.M. Harte* & M.E. van Leeuwen**. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 112. "
217,"Mental Health Nurses’ Experiences of Patient Assaults. Maria Baby. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 116. "
218,"Mental Health Nurses’ Experiences of Patient Assaults. Maria Baby. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 121. "
219,"Strengthening the Pavement of Good Intentions: Ethical and Legal Implications of Restraint and Seclusion Strategies. Bob Bowen, Adjunct Assistant Professor of Psychiatry, University of Rochester Medical. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 122. "
220,"Use of Seclusion. Isabelle Jarrin, Marie Edwards, Elaine Mordoch. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 126. "
221,"Use of Seclusion. Isabelle Jarrin, Marie Edwards, Elaine Mordoch. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 127. "
222,"Impact of prosecution for violence in hospital on the continuing rate of violence and on staff safety. Dr Kevin Murray, Clinical Director, Broadmoor Hospital, England. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 128. "
223,". Violence reduction in inner-city adult acute mental health wards - ‘A SCRiPT for Safety’p. 131. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. Hospital, England measures. p. 131. "
224,"Violence reduction in inner-city adult acute mental health wards - ‘A SCRiPT for Safety’. Natalie Hammond, Amanda Pithouse. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 131. "
225,"The effect of physical space on aggression in psychiatry. Thijs Beckers & André Merks. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 133. "
226,"Health System 2000-2010. Gregory M. Smith, Alexandria A. Windcaller. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 136. "
227,"System: Effects of Discontinuing the Use of P.R.N Orders. Gregory M. Smith, Robert H. Davis, Aidan Altenor, Dung P. Tran, Karen L. Wolfe, John A.. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 137. "
228,"Supporting People in Crisis. Gregory M. Smith, Alexandria A. Windcaller. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 138. "
229,"The Safewards Model and Cluster RCT. Duncan Stewart, Len Bowers. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 139. "
230,"National guideline for physical restraint in the Netherlands. Hamp Harmsen. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 140. "
231,"Center of Tucson, Arizona, U.S.A. Virgil Hancock MD, MPH. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 141. "
232,"No more solitary confinement! One to one guidance to restore connection with the patient during coercion and confinement. Minco Ruiter. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 145. "
233,"Specialists in de-escalation: the de-escalation supporter. Minco Ruiter. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 146. "
234,"Restraint in a Canadian Psychiatric Hospital. Isabelle Jarrin, Debbie Frechette, Patrick Griffith. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 149. "
235,"Restraint in a Canadian Psychiatric Hospital. Isabelle Jarrin, Debbie Frechette, Patrick Griffith. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 150. "
236,"In the North West of England; Utilizing a ‘Human Factors’, approach to inform decision making. Anthony Crumpton, Carl Edwards, Anne-Marie Begg, Louise Owen, Ian Wyatt, Mark Birch. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 151. "
237,"Conflict Management Program: Fidelity Scale in Psychiatric Care. Elizabeth Wiese-Batista Pinto, Simone Vlek, Thom Piethaan, Chantal de Koning,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 152. "
238,"International seclusion figures, literature and conditions for international comparisons. Wim Janssen. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 156. "
239,"The use of a swaddle as an alternative in reducing the number of fixations at seclusions. Erik Van Tilburg. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 157. "
240,"Does a Patient-Directed Admission Process Reduce Violence?. Michael Polacek, MSN, BSed, RN, Lori Kessler, BSRN, RNC. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 158. "
241,"Nurses’ intuition as an explanatory variable for the length of restraint. Eila Sailas, Nina Lindberg, Raija Kontio, Hanna Putkonen, Päivi Soininen, Toshie Noda,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 159. "
242,". Variables related to the bed-blocker phenomenon in an acute psychiatric wardp. 161. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. Lancashire, United Kingdom prevention & protective factors. p. 161. "
243,"Variables related to the bed-blocker phenomenon in an acute psychiatric ward. Rosaria Di Lorenzo, Vitoantonio Formicola, Stefano Mimmi, Paola Ferri. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 161. "
244,"Dark Knights: Donning the Archetype. Brian Van Brunt, Ed.D.. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 163. "
245,"The Structured Interview for Violence Risk Assessment (SIVRA-35). Brian Van Brunt, Ed.D.. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 167. "
246,"Institutional Risk Processes for Violence: Institutions Viewed through the PRISM. David Cooke. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 172. "
247,"The incremental validity of a bio-psycho-social approach for violence risk assessment. John Olav Roaldset, Aalesund Hospital, More and Romsdal Health Trust. Centre for Research and Education in Forensic Psychiatry, Oslo University Hospital. The Norwegian University of. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 173. "
248,"Nurses’ contribution to prevent seclusion in acute mental health care – a prognostic study protocol. Paul Doedens, RNa. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 177. "
249,"Affective Disorder. Husrev Demirel, Dilek Yesilbas, Erhan Yuksek, Ismail Ozver, Suheyla Aliustaoglu, Murat Emul. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 182. "
250,"Translation of risk assessment to risk management:challenges and solutions. Ellen van den Broek, Michiel de Vries Robbé, Vivienne de Vogel. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 184. "
251,"Violence on the ward: Characteristics of mental health professionals who have an increased risk of becoming victims of inpatient violence. M.E. van Leeuwen, Inforsa, Hospital for Intensive and Forensic Psychiatry, part of Arkin. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 185. "
252,"Violence risk assessment in women: Results from a Dutch multicentre study. Vivienne de Vogel, Jeantine Stam, Eva de Spa, & Michiel de Vries Robbé. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 190. "
253,"Hospital (DP-CHUV): lessons and limits after five years. Didier Camus, Mehdi Gholam-Rezaee, Nicolas Kühne, Jean-Philippe Duflon, Jean-Michel. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 193. "
254,"The importance of analysing aggression incidents for preventing violence: using a pack of cards based on PRISM. Katrien de Ponti MSc. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 198. "
255,"Relationship between the incidence of violence in emergency medical services and type of assistance provided. Maria Dolores Piqueras Acevedo, Juan J. Gascón Cánovas, José Mª Salcedo-López, Carles. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 202. "
256,"Kennedy Axis V: clinimetric properties assessed by mental health nurses. Margo D.M. Faay, MSc, RN., Roland van de Sande MSc, RN., Floor Gooskens, MSc, RN.,. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 203. "
257,"Dynamics in risk assessment: change in risk and protective factors during treatment. Michiel de Vries Robbé, Vivienne de Vogel, & Ellen van den Broek. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 205. "
258,"Prevention of violence in psychiatric inpatient care – aspects of ethics and safety in encounters with patients. Lars Kjellin, Veikko Pelto-Piri. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 209. "
259,"Prediction and prevention of violent recidivism through risk assessment with the Short Term Assessment of Risk and Treatability (START). N.A.C. Troquete1*, R.H.S. van den Brink1, H. Beintema2, T. Mulder3, T.W.D.P. van Os4, R.A.. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 211. "
260,"Alexandria: An exploratory Study. Dalia Nagui Moheieldin, Hoda Salama, Ossama El Kholy, Heba Essam Abo Elwafa. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 215. "
261,"Psychiatric patients need a more active role in managing their own aggression. Marja de Schutter, Hein Lodewijkx. In: Violence in Clinical Psychiatry. Eds: Callaghan P, Oud N, Bjørngaard JH, Nijman H, Palmstierna T, Almvik R, et al. Proceedings of the 8th European Congress on Violence in Clinical Psychiatry. 23–26 October 2013; Ghent. Kavanah, Dwingeloo and Oud Consultancy, Amsterdam. 2013. p. 219. "
